;fcitx Version 0x03 Table file
KeyCode='abcdefghijklmnopqrstuvwxyz.,;
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
'	去
qcqr	惜
qc;	息
qch	锡
qck	习
qcd	稀
qcre	曦
qcjq	茜
qcn	袭
qctt	嘻
qceq	汐
qcj	昔
qclq	悉
qcrr	腊
qcmq	栖
qcr	膝
qcm	析
qclt	禧
qcef	玺
qcfe	羲
qcgb	犀
qcrh	晰
qc.	隙
qcgd	熹
qch.	铣
qccp	徙
qcbq	牺
qcth	唏
qcq.	郗
qceh	淅
qcch	蜥
qcm.	阋
qcmx	皙
qcb	媳
qc;e	蹊
qcm,	檄
qcp	翕
qc.d	隰
qccq	蟋
qcq'	忾
qcmb	樨
qcaa	西
qcfi	戏
qce.	洗
qcqh	希
qcoy	细
qcxk	兮
qc;q	息
qch,	锡
qcke	习
qcnf	袭
qcjr	昔
qcmh	析
qc.q	隙
qcd	熄
qcg	硒
qcb	嬉
qcl	奚
qt	行
qtty	型
qtq	性
qtr	星
qtb	姓
qtqx	兴
qtt	形
qtf	醒
qty	幸
qtte	刑
qtt.	邢
qtm	杏
qtrg	腥
qtqg	惺
qt'	猩
qtjg	荥
qtqi	悻
qt.	陉
qtcc	行
qtg	省
qtgr	省
qtbg	姓
qttl	形
qtyi	幸
qt.i	陉
qn	想
qnl	向
qnp	像
qne	象
qnm	相
qnd	香
qnk	乡
qni	项
qnt	响
qnlf	祥
qner	湘
qnkr	箱
qnfq	翔
qnj	巷
qn,	享
qn.	降
qn,f	襄
qnh	镶
qnf	详
qnc	厢
qng	饷
qnmf	骧
qnmb	橡
qnjq	芗
qnq	飨
qnif	庠
qno	缃
qnha	鲞
qnmq	想
qnlt	向
qnpb	像
qneb	象
qnmr	相
qnkl	乡
qn.n	降
qntt	响
qnjo	巷
qn,;	享
qnhf	镶
qncr	厢
qngt	饷
qnor	缃
qm	先
qm'	县
qmo	线
qm,	现
qmp	仙
qmr	显
qmn	贤
qmb	嫌
qmm	闲
qma	鲜
qm.	限
qm.a	险
qmq	咸
qm,t	咸
qmae	咸
qmg	献
qmi	弦
qm.h	陷
qmx	宪
qmgh	馅
qmu	掀
qmo'	纤
qmul	掺
qmc	衔
qmf	羡
qme	冼
qmrg	腺
qmh	铣
qme;	涎
qmk	舷
qmmb	鹇
qmf.	酰
qmj	藓
qmxm	痫
qm;u	暹
qmhp	锨
qmm.	籼
qm;	跹
qmb.	先
qm'o	县
qm,.	现
qmp.	仙
qmt	见
qmt.	见
qmrf	显
qmnp	贤
qmbb	嫌
qmmm	闲
qmaf	鲜
qm.i	限
qmg'	献
qmif	弦
qmx.	宪
qmup	掀
qmfp	羡
qmh.	铣
qmkf	舷
qmb	娴
qmj	苋
qmc	蚬
qm.	岘
qb	笑
qbne	小
qbj	萧
qbq	肖
qbr	晓
qbm	校
qbn	孝
qbe	消
qbh	销
qbk,	筱
qb,	效
qbqe	削
qbf	霄
qbt	啸
qbx	宵
qbk	箫
qbeo	潇
qb;	逍
qbl	枭
qbtt	嚣
qbb	姣
qbg	硝
qbt;	哮
qber	淆
qbkf	笑
qbjo	萧
qbqr	肖
qbr,	晓
qbmq	校
qbn;	孝
qbhr	销
qbfr	霄
qbto	啸
qbxr	宵
qb;r	逍
qbbq	姣
qbm	骁
ql	些
qlx	写
qll	血
qlf	谢
qli	鞋
qlf.	邪
qlu	携
qlp	斜
qlg	协
qle	泄
qlr	歇
qlc	蝎
ql,	卸
qll.	卸
qlef	泻
qlue	契
qluh	挟
qlgr	屑
qlrx	胁
qlpx	偕
qlm	械
qld	燮
qlgp	颉
qlme	楔
qlq	懈
qlup	撷
ql,f	亵
qlt	叶
qla	鲑
qlop	缬
qleh	瀣
ql;	邂
qlxf	写
qllm	血
qltg	叶
qliy	鞋
qlub	携
qlgx	协
qlrp	歇
qlck	蝎
ql,.	卸
qldf	燮
qlqb	懈
qlay	鲑
ql;b	邂
qlnq	勰
qlf	谐
qle	蟹
qlm	榭
q'	修
q'd	秀
q'p	休
q'o	绣
q'x	宿
q'f	羞
q'l	袖
q't	嗅
q'h	锈
q'm	朽
q'e	溴
q'.	岫
q';	臭
q'i	庥
q'g	馐
q'pl	修
q'db	秀
q';'	臭
q'pm	休
q'ob	绣
q'xx	宿
q'lf	袖
q't'	嗅
q'hb	锈
q'mk	朽
q'e'	溴
q'.f	岫
q'im	庥
qp	选
qpc	轩
qp,	玄
qpx	宣
qpd	炫
qphe	券
qpu	旋
qpj	萱
qp'	悬
qp,p	璇
qpt	喧
qpr	眩
qpri	暄
qpo	绚
qpe	渲
qpep	漩
qph	铉
qpdi	煊
qpxf	癣
qpef	泫
qpm	楦
qpxi	宣
qpdf	炫
qpup	旋
qpji	萱
qp'q	悬
qpor	绚
qphf	铉
qpmi	楦
qo	熊
qot	兄
qoo	熊
qog	雄
qor	胸
qoq	凶
qox	匈
qoe	汹
qoj	芎
qot.	兄
qood	熊
qort	胸
qoet	汹
qoji	芎
qy	学
qyf	雪
qyl	血
qyj	薛
qyx	穴
qyq	削
qyi	靴
qyt	噱
qya	鳕
qyu	踅
qyq;	学
qyjg	薛
qyxx	穴
qyix	靴
qya.	鳕
qyup	踅
qyf	谑
qg	需
qgf	许
qgc	徐
qgl	须
qgd	虚
qgo	续
qgq	恤
qgh	旭
qgt	嘘
qgi	序
qgp	叙
qgor	绪
qgbq	絮
qgj	蓄
qg,	畜
qg,a	戌
qga	戌
qgy	墟
qgyf	圩
qgtf	吁
qgk	胥
qgr	煦
qgb	婿
qgm	栩
qge,	浒
qgfq	诩
qgft	酗
qgrf	盱
qge	溆
qgjx	蓿
qgf.	需
qgf,	许
qglp	须
qgdf	虚
qgoe	续
qghr	旭
qgin	序
qgpf	叙
qgjy	蓄
qgae	戌
qgkr	胥
qgrd	煦
qgmq	栩
qgef	溆
qgu	砉
qq	下
qqa	夏
qqt	吓
qqr	瞎
qqc	虾
qqf	霞
qqp	侠
qqct	辖
qq.	峡
qqc,	厦
qq'	狭
qqth	匣
qqrf	暇
qq,	瑕
qq;	遐
qqu	罅
qqd	黠
qqg	硖
qqax	下
qqa,	夏
qqtq	吓
qqrt	瞎
qqcq	虾
qqph	侠
qq.h	峡
qq,f	瑕
qq;f	遐
qqth	呷
qf.	寻
qff	讯
qffc	训
qft	勋
qf;	迅
qfl	熏
qf;q	逊
qfj	薰
qf;k	巡
qfc	循
qfx	旬
qffr	询
qfjr	荀
qfe,	浚
qfm	驯
qfeg	汛
qfe	殉
qfer	洵
qfy	埙
qfej	浔
qfjj	荨
qfa	鲟
qfcr	徇
qfx.	郇
qfxr	窨
qf.r	峋
qf.j	寻
qffg	讯
qftn	勋
qfld	熏
qfjd	薰
qfox	巽
qfyp	埙
qfaj	鲟
qfqr	恂
qff	醺
qcdh	稀罕
qleb	卸掉
qleb	解
qcdh	烯
qcr	晞
q'k	貅
q'km	貅
q'tm	咻
qpb	嬛
qpbf	嬛
qppf	伭
qp,f	玹
qprf	昡
qq'h	狎
qxl	囟
qxlq	囟
qxd	炘
qxpq	伈
qci.	觋
qcpt	僖
qcg'	饩
qcgp	屣
qcfm	醯
qced	潟
qcx.	郤
qcxq	窸
qcjp	蓰
qche	鼷
qcl,	裼
qckq	舾
qcom	枲
qcot	绤
qc,q	𠅤
qcpe	傒
qcme	𫘬
qc.x	嶍
qc.k	嶲
qcrt	暿
qc,n	釐
qcax	鳛
qc.i	巇
qcde	爔
qcet	觿
qtgl	饧
qtj	荇
qtu	擤
qtun	擤
qtge	硎
qthe	铏
qtdg	煋
qnjr	葙
qn,t	珦
qnpf	儴
qml	祆
qmly	祆
qm'a	猃
qm'.	氙
qmf,	霰
qm;.	跣
qmuj	挦
qmja	莶
qmpf	伭
qmqp	忺
qm'q	狝
qm,f	玹
qmr.	𪾢
qmre	盷
qmo;	𫄧
qmft	𫍯
qmlg	禒
qmrd	㬎
qmbh	孅
qbc	蛸
qbcr	蛸
qb.	崤
qb.r	崤
qbi	魈
qbtb	鸮
qbt,	哓
qbmk	枵
qbo	绡
qbrr	睄
qbeq	洨
qbqq	恔
qbhh	虓
qbe;	涍
qb'h	猇
qbff	𫍲
qbq,	敩
qbdt	熇
qbxx	皛
qbco	蟏
qlj	薤
qljh	薤
qlib	廨
ql'	獬
ql'b	獬
qlo	绁
qlog	绁
ql;f	躞
qlpe	偰
qluq	絜
qley	觟
qlpy	㙦
qljb	薢
q'a	髹
q'am	髹
q',	琇
q',b	琇
q'er	滫
q'pb	鸺
q'pr	脩
q',r	珛
qp,i	瑄
qpf	谖
qpl	禤
qplq	禤
qpp	儇
qpg	碹
qpgi	碹
qpmf	𫠊
qpcc	衒
qphr	𫓶
qprp	暶
qpoq	翾
qoe,	夐
qof	讻
qyjx	茓
qyq.	峃
qyq,	敩
qgeq	洫
qgrn	勖
qgtn	勖
qg,p	顼
qglb	媭
qgik	魆
qgmr	糈
qgrt	昫
qg,q	珝
qgyn	垿
qgfr	谞
qgot	矞
qgo.	𦈡
qqx	瘕
qqk	叚
qfjg	蕈
qfr	曛
qfrd	曛
qf,	珣
qf,r	珣
qf'	獯
qf'd	獯
qfmr	栒
qftx	噀
qfod	𫄸
qfcg	蟫
q;	现在
q;	选择
qf	需要
qq	学习
q,	希望
qd	喜欢
qa	西安
qe	相当
qm	下面
qi	习惯
qu	相反
qh	现金
qk	下周
qj	下次
qr	西欧
q.	险恶
qahd	笑傲江湖
qahe	西安交大
qahq	西安交通大学
qane	心安理得
qa,g	相安无事
qxac	心爱
qxab	心安
qxxh	新版
qxxt	心病
qxxm	新编
qxxg	信步
qxxr	香饽饽
qxxa	凶巴巴
qxxd	象拔蚌
qxxu	下半部分
qxx;	下半辈子
qxjc	新词
qxe	想不到
qxex	想不到吧
qxej	信道
qxee	信贷
qxe.	心得
qxei	行不得也哥哥
qxec	心底
qxem	新店
qxeo	心动
qxek	喧宾夺主
qxu	西北风
qxui	信封
qxud	新房
qxuh	心烦
qxug	信服
qxu,	心扉
qxir	信不过
qxij	新高
qxi.	新歌
qxih	心肝
qxim	行不更名
qxig	新股
qxik	新贵
qxiq	行不更名，坐不改姓
qxdj	信号
qxdu	心狠
qxdh	心寒
qxdn	心慌
qxdp	新欢
qxd,	心黑
qxdq	新华
qxdf	新婚
qxc	想不出
qxcj	新潮
qxce	信差
qxc.	新车
qxcd	心肠
qxco	新宠
qxcg	新出
qxcf	新春
qxc;	薪酬
qxcn	想不出来
qxck	下笔成章
qxhc	心机
qxhc	心急
qxhl	心结
qxht	心境
qxhn	新疆
qxhx	新进
qxhm	新建
qxh'	新旧
qxhg	新居
qxhf	小本经营
qxte	想不开
qxth	心坎
qxtp	新款
qxtg	辛苦
qxt;	心口
qxna	辛辣
qxnk	心率
qxnj	辛劳
qxne	信赖
qxnd	新浪
qxnc	心里
qxnc	心理
qxnt	心灵
qxnn	心凉
qxny	下不来台
qxng	心路
qxnf	西伯利亚
qxn.	下班了
qxmg	心目
qxmr	心魔
qxme	心脉
qxmx	想不明白
qxb	下半年
qxbn	新娘
qxbm	新年
qxlx	新品
qxle	新派
qxlm	芯片
qx'x	辛勤
qx'c	新奇
qx't	心情
qx'n	想不起来
qx'l	心切
qx'g	新区
qx'f	下笔千言
qxpu	信任
qxph	欣然
qxpm	小不忍则乱大谋
qxpp	心软
qxpg	下笔如有神
qxpk	新锐
qxo	心算
qxoc	心思
qxop	心酸
qxok	心碎
qxoh	小瘪三
qxy	想不通
qxye	心态
qxyi	心疼
qxyi	心比天高
qxym	心田
qxyb	心跳
qxyr	信托
qxyl	新帖
qxyo	心痛
qxyg	信徒
qxyf	信笔涂鸦
qxy;	心头
qxg	小白鼠
qxgu	心神
qxgu	刑不上大夫
qxgi	新生
qxgi	心声
qxgd	欣赏
qxgc	心事
qxgg	新书
qxgr	心说
qxgk	薪水
qxgk	邪不胜正
qxgf	小本生意
qxg;	新手
qxk	闲不住
qxka	信札
qxkj	新招
qxki	新政
qxkc	心智
qxkn	新装
qxko	心中
qxkg	新著
qxkq	相比之下
qxke	下不着地
qx,u	新闻
qx,n	下不为例
qx,r	心窝
qx,g	信物
qx,,	欣慰
qxq	行不行
qxqx	信心
qxqc	信息
qxqi	习不习惯
qxqh	虾兵蟹将
qxqt	新型
qxqt	新兴
qxqn	信箱
qxqm	新鲜
qxq'	新秀
qxqo	心胸
qxqy	心血
qxqg	心虚
qxqd	喜不喜欢
qxqf	需不需要
qxqb	信不信由你
qxfa	西班牙
qxfj	新药
qxfd	信仰
qxfc	心意
qxfh	心眼
qxft	新颖
qxfp	心愿
qxfo	信用
qxfy	新月
qxfg	信誉
qxfk	邪不压正
qxff	瑕不掩瑜
qxf.	下半夜
qx;	下辈子
qx;i	新增
qx;d	心脏
qx;c	薪资
qx;r	新作
qx;g	喜不自胜
qx;h	喜不自禁
qx;k	心醉
qx;f	心不在焉
qjxa	下次吧
qjxm	秀才不出门
qjxu	小葱拌豆腐
qjen	雄才大略
qjih	心存感激
qjn.	写错了
qjhm	下次见
qjhq	心存侥幸
qjhe	心存芥蒂
qjh,	心存敬畏
qjmt	小聪明
qjyh	喜从天降
qjgp	心慈手软
qjgb	心存善念
qjqx	瞎操心
qjfn	心存疑虑
qjfe	小菜一碟
qjfx	秀才遇到兵
qjf'	秀才遇到兵，有理说不清
qj;c	秀才造反，三年不成
qexj	相当不错
qeed	响当当
qeea	羞答答
qeef	笑掉大牙
qe.;	席地而坐
qe.f	相对而言
qeud	小地方
qeir	信得过
qei;	喜得贵子
qedn	闲得慌
qedq	现代化
qec	想当初
qecu	下得厨房
qecg	相当程度上
qeh	洗涤剂
qehc	小肚鸡肠
qehn	心胆俱裂
qehg	凶多吉少
qehm	兄弟姐妹
qehq	下定决心
qete	想得开
qetb	相当困难
qeti	相当可观
qen.	想到了
qenj	学到老
qenc	新德里
qen'	下大力气
qeng	新大陆
qem,	想得美
qemu	相当麻烦
qemg	闲的没事
qebm	想当年
qebd	虚度年华
qebb	想到哪说到哪
qeph	想当然
qepf	相当容易
qepu	下等人
qeyo	行得通
qeyh	兄弟同心，其利断金
qegn	心地善良
qege	相对湿度
qegm	心荡神迷
qe,u	现代文
qe,q	现代文学
qe,t	先睹为快
qe,b	胸大无脑
qe,n	闲得无聊
qeqt	相对性
qeqq	小道消息
qeqb	小打小闹
qeq'	兄弟阋墙
qefg	相当于
qefk	形单影只
qefk	相得益彰
qe;r	小动作
q.xf	笑而不语
q.xg	秀而不实
q.ef	希尔顿
q.iy	洗耳恭听
q.ht	小而精
q.t.	小儿科
q.mx	小儿麻痹
q.gd	形而上
q.gk	学而时习之
q.gq	形而上学
q.,h	悬而未决
q.qq	形而下
q.qd	小恩小惠
q.fh	显而易见
q.fg	学而优则仕
q.fq	玄而又玄
qual	媳妇熬成婆
quxf	兴奋不已
qux'	相逢不用忙归去
qujf	晓风残月
queg	小幅度
quei	仙风道骨
qued	心腹大患
qu.p	媳妇儿
qudg	相逢何必曾相识
quc.	消防车
quhc	兴奋剂
quh;	相夫教子
quha	小富即安
qutu	心服口服
qulx	消费品
qu';	心浮气躁
quof	学非所用
qugk	洗发水
qugu	想方设法
quk.	消费者
qukd	心腹之患
qukp	先发制人
qu,c	学富五车
quqm	新发现
quqc	相辅相成
quqf	腥风血雨
qufp	消防员
qufn	心烦意乱
qufc	相逢一笑泯恩仇
qu;n	兴风作浪
qixh	修改版
qixo	吓个半死
qixx	心肝宝贝
qixc	响鼓不需重锤
qiji	小高层
qijn	兴高采烈
qijo	萧规曹随
qiec	小姑独处
qieh	循规蹈矩
qido	先公后私
qiu	闲工夫
qiug	下工夫
qicj	性高潮
qicp	习惯成自然
qihe	寻根究底
qin.	习惯了
qify	下个月
qinh	小概率事件
qinn	香格里拉
qiij	修改稿
qiim	小国寡民
qii;	相关工作
qibn	小姑娘
qi'a	心高气傲
qi'f	心甘情愿
qipf	相关人员
qig	习惯上
qigh	下个世纪
qigd	新官上任三把火
qigp	新官上任
qikq	学贯中西
qi,e	寻根问底
qiqt	习惯性
qiqd	形槁心灰
qiq'	下个星期
qife	侠肝义胆
qifk	行高于人，众必非之
qi;j	洗个澡
qi;p	相关责任人
qi;f	小鬼遭殃
qieq	香港大学
qiej	香港岛
qinq	香港理工大学
qihq	香港浸会大学
qihl	膝关节
qik	香港中文大学
qik;	血光之灾
qitq	香港科技大学
qdxi	心怀不轨
qdxc	笑话百出
qdxq	纤毫毕现
qdei	信号灯
qdel	销魂夺魄
qdek	胸怀大志
qdex	血红蛋白
qd.p	歇会儿
qduh	下回分解
qdiy	心怀鬼胎
qdd.	笑呵呵
qdcg	鲜花插在牛粪上
qdhd	新欢旧好
qdhg	悬壶济世
qdti	胸怀宽广
qdtn	新婚快乐
qdn.	学会了
qdnf	星火燎原
qdma	喜欢吗
qdbu	心花怒放
qdlj	心怀叵测
qdpi	虚怀若谷
qdg	西红柿
qdgd	行贿受贿
qdg.	新华社
qdgc	血海深仇
qdgn	心狠手辣
qdgl	小鹤双拼
qdgg	闲话少说
qdgi	销魂蚀骨
qdkp	向后转
qdky	绣花枕头
qd,b	嘘寒问暖
qd,u	循环往复
qd,n	寻花问柳
qd,g	悬壶问世
qd,f	学海无涯
qd,k	学会为止
qdqm	下划线
qdqc	薪火相传
qdqy	循环系统
qdf	歇后语
qdfj	闲花野草
qdf.	新婚燕尔
qdfn	心灰意冷
qdf'	虚晃一枪
qdfq	小鹤音形
qdfg	显赫一时
qdfk	心回意转
qd;	小孩子
qd;e	新华字典
qd;c	小伙子
qd;n	寻欢作乐
qcac	喜爱
qcab	西安
qcxj	细胞
qcxe	惜败
qcxh	戏班
qcxm	西边
qcxr	稀薄
qcxl	惜别
qcxp	纤尘不染
qcxg	西部
qcx,	西北
qcxx	夏虫不可语冰
qcjh	西餐
qcei	熄灯
qcec	洗涤
qceb	洗掉
qcep	西段
qceg	吸毒
qceq	新陈代谢
qceh	小惩大诫
qc..	喜恶
qcud	西方
qcua	戏法
qcuu	细分
qcui	西风
qcu,	西非
qcuh	稀饭
qcug	媳妇
qcie	膝盖
qcih	喜感
qcir	洗过
qcig	习惯硒鼓
qciq	西瓜
qcdj	喜好
qcdr	熄火
qcda	嘻哈
qcdg	西湖
qcdq	细化
qcca	细查
qcc.	洗车
qccu	洗尘
qcci	戏称
qccd	西昌
qcco	兴冲冲
qcc;	吸筹
qchd	新仇旧恨
qchc	袭击
qchh	新春佳节
qcht	洗净
qchm	席间
qchb	洗脚
qchl	细节
qch'	喜酒
qchp	席卷
qchg	喜剧
qchf	细菌
qct.	稀客
qctg	西裤
qcna	希腊
qcne	袭来
qcn.	洗了
qcnc	犀利
qcnc	洗礼
qcnh	稀烂
qcnn	细粮
qcnm	洗脸
qcnr	奚落
qcnl	系列
qcn'	溪流
qcng	西路
qcnq	咸吃萝卜淡操心
qcmj	细毛
qcmu	西门
qcmc	细密
qcml	熄灭
qcmg	细目
qcba	吸纳
qcbj	洗脑
qcbu	细嫩
qcbc	细腻
qcbc	悉尼
qcbh	西南
qcbt	西宁
qcb'	犀牛
qcbo	戏弄
qcbg	息怒
qcrg	西欧
qcle	洗牌
qclc	嬉皮
qclh	洗盘
qclb	戏票
qclm	宣传片
qcll	心潮澎湃
qc'	吸尘器
qc'c	稀奇
qc't	喜庆
qc'm	洗钱
qc'y	稀缺
qc'g	吸取
qc'g	戏曲
qc'u	心潮起伏
qcpj	袭扰
qcpu	喜人
qcpc	昔日
qcph	洗染
qcpr	细弱
qcpp	细软
qcpg	吸入
qco.	喜色
qcod	喜丧
qcoo	稀松
qcog	习俗
qcok	细碎
qcyo	系统
qcye	戏台
qcyd	喜糖
qcyc	习题
qcym	西天
qcyr	洗脱
qcy;	洗头
qcyj	行差踏错
qcgj	稀少
qcgi	牺牲
qcgc	西施
qcgc	稀释
qcgh	西山
qcgt	蟋蟀
qcgr	戏说
qcgg	系数
qcgg	洗漱
qcgk	溪水
qcg,	心驰神往
qcgq	洗刷
qcgf	吸吮
qcg;	吸收
qcg;	洗手
qckj	夕照
qcki	修成正果
qckd	细账
qckc	细致
qckh	西站
qckn	西装
qcko	戏中
qckg	吸住
qc,	席位
qc,h	洗碗
qc,h	相差无几
qc,g	习武
qc,,	细微
qc,,	喜出望外
qcqx	细心
qcqx	悉心
qcqc	嘻嘻
qcqt	习性
qcqn	细想
qcqb	细小
qcqy	吸血
qcqg	唏嘘
qcqq	西夏
qcqf	喜讯
qcfa	西亚
qcfx	吸引
qcfj	西药
qcfd	夕阳
qcfc	西医
qcfc	蜥蜴
qcfh	吸烟
qcfp	戏院
qcft	喜迎
qcfo	行成于思
qcfy	喜悦
qcfg	西域
qcfq	响彻云霄
qcf;	稀有
qc;j	洗澡
qc;.	细则
qc;d	西藏
qc;c	戏子
qc;n	心诚则灵
qc;r	习作
qhx	性价比
qhxx	血迹斑斑
qhxc	相交不拆
qhxi	星级宾馆
qhxf	小家碧玉
qhxu	想尽办法
qhep	现阶段
qhek	心惊胆战
qhei	消极怠工
qh.'	喜极而泣
qhio	心肌梗塞
qhdq	戏剧化
qhdc	薪尽火传
qhdn	心急火燎
qhd,	相见恨晚
qhdr	小家伙
qhc.	小轿车
qhck	洗剪吹
qhcq	相继出现
qhcu	心急吃不了热豆腐
qhh'	小九九
qhha	雄赳赳，气昂昂
qhhm	行将就木
qhhe	星级酒店
qhht	洗洁精
qhtf	形迹可疑
qhn	下结论
qhn'	现金流
qhnf	喜结良缘
qhnb	下脚料
qhmf	细嚼慢咽
qhlr	新加坡
qh'g	陷进去
qh'd	洗尽铅华
qhpx	相敬如宾
qhpu	心急如焚
qhpy	心惊肉跳
qhyo	心绞痛
qhyh	先决条件
qhyp	学究天人
qhkm	先见之明
qh,'	新疆维吾尔自治区
qhq	戏剧性
qhqj	献计献策
qhqt	先进性
qhqg	相机行事
qhfg	相较于
qhfp	新纪元
qhfc	虚惊一场
qhft	洗劫一空
qhft	席卷一空
qhfo	消极因素
qh;'	小家子气
qh;n	心静自然凉
qhlq	新加坡国立大学
qhlm	喜剧片
qtaa	行啊
qtac	性爱
qtxl	性别
qtxa	行吧
qtxh	兴办
qtxt	性病
qtjj	行草
qtjd	信口雌黄
qtjc	行刺
qtjf	幸存
qteo	行动
qtem	想开点
qte.	幸得
qte;	星斗
qt.p	幸而
qtua	刑法
qtuu	兴奋
qtud	行房
qtug	幸福
qti.	性格
qtih	性感
qtin	星光
qtio	行宫
qtd	幸好
qtdj	型号
qtd.	星河
qtdh	星汉
qtdn	杏黄
qtdr	星火
qtdo	猩红
qtdk	行贿
qtdq	杏花
qtdy	先苦后甜
qtc	行程
qtc.	行车
qtcu	星辰
qtci	形成
qtcd	刑场
qtcp	行船
qtc;	腥臭
qth	性急
qthx	行进
qthc	星级
qtht	刑警
qthm	兴建
qthb	性交
qth'	醒酒
qthg	刑拘
qthf	行军
qthn	行将
qttd	信口开河
qtto	星空
qttk	幸亏
qtn	醒了
qtna	行啦
qtnx	杏林
qtne	醒来
qtn.	行了
qtnu	休克疗法
qtnc	行李
qtno	兴隆
qtng	行路
qtnk	刑律
qtnf	相看两不厌
qtma	行吗
qtmj	形貌
qtmt	姓名
qtmt	性命
qtmm	幸免
qtmg	醒目
qtbi	性能
qtbj	醒脑
qtbd	行囊
qtlm	行骗
qtlp	血口喷人
qt'x	性侵
qt'c	星期
qt't	性情
qt'l	行窃
qt''	星球
qt'p	行权
qt'g	兴趣
qtpo	形容
qtpu	行人
qtph	悻然
qtpg	形如
qtpf	心口如一
qtoc	形似
qtoj	腥臊
qto.	行色
qtoo	惺忪
qtye	形态
qtyc	形体
qtyh	兴叹
qtyl	心宽体胖
qtyo	形同
qty;	行头
qtgi	兴盛
qtgc	形式
qtgc	形势
qtgh	行善
qtgt	兴衰
qtgg	行书
qtgf	心旷神怡
qtgd	小康社会
qtk	许可证
qtk.	行者
qtku	刑侦
qtki	行政
qtkc	性质
qtkc	兴致
qtkn	形状
qt,,	行为
qt,u	行文
qt,d	兴旺
qt,g	醒悟
qtqc	星系
qtqt	星星
qtqn	形象
qtqb	行销
qtq'	星宿
qtqo	行凶
qtqf	刑讯
qtf.	兴业
qtfc	行医
qtfh	杏眼
qtfg	性欲
qtff	幸运
qt;r	星座
qt;c	性子
qt;o	行踪
qt;;	行走
qnac	相爱
qnag	心理暗示
qnx	想必
qnxx	香槟
qnx.	迅雷不及掩耳
qnxc	相比
qnxh	相伴
qnxg	相簿
qnxm	下落不明
qnxr	香波
qnxp	下里巴人
qnx,	相悖
qnjj	香草
qnje	湘菜
qnje	笑里藏刀
qnj.	相册
qnji	悬梁刺股
qnjg	香醋
qnjk	香脆
qnjf	乡村
qnea	想打
qnej	想到
qnej	向导
qnei	相等
qnec	相抵
qneo	响动
qnek	相对
qneh	性冷淡
qne;	绚丽多姿
qnu	享福
qnua	想法
qnuu	香粉
qnui	相逢
qnud	相仿
qnud	降龙伏虎
qnuh	相反
qnug	相符
qnuq	心理分析
qnue	心理负担
qnij	相告
qni.	相隔
qnid	香港
qnih	相干
qnir	想过
qnip	相关
qnio	相公
qniq	香瓜
qnig	香菇
qni;	洗了个澡
qndx	先礼后兵
qndj	想好
qnde	先来后到
qnd.	祥和
qndn	稀里哗啦
qndr	香火
qndy	稀里糊涂
qndg	相互
qndk	相会
qndq	像话
qnd;	向后
qnca	相差
qncx	兴利除弊
qnc.	响彻
qncu	相称
qnci	想成
qncd	香肠
qncd	血流成河
qncc	相持
qncp	相传
qncg	相处
qncf	香醇
qnc;	乡愁
qncn	心理承受能力
qnhx	相近
qnhj	心力交瘁
qnhy	心灵鸡汤
qnhc	相机
qnht	香精
qnhn	湘江
qnhm	相见
qnhb	香蕉
qnhb	橡胶
qnhl	详解
qnhg	相聚
qnhq	相加
qnte	想开
qnt.	相克
qnth	想看
qntn	相框
qntg	想哭
qnt;	小两口
qnn	相连
qnnx	相邻
qnne	向来
qnnn	响亮
qnnm	项链
qnno	降龙
qnn.	享乐
qnnb	香料
qnny	详略
qnng	香炉
qnn,	响雷
qnnc	心路历程
qnnk	小鹿乱撞
qnnt	响铃
qnmx	乡民
qnmj	相貌
qnmm	相面
qnmg	项目
qnbm	想念
qnb,	向内
qnbn	心理年龄
qnlc	橡皮
qnlm	相片
qnlg	相扑
qnl,	相配
qn'	象棋
qn'x	相亲
qn'x	星罗棋布
qn'c	想起
qn't	详情
qn'm	向前
qn'p	项圈
qnpu	相认
qnpd	相让
qnpr	相若
qnpj	向来如此
qnpm	心乱如麻
qnpo	相容
qnpk	祥瑞
qnpk	血流如注
qnp,	熙来攘往
qnoc	相似
qnoc	相思
qnog	像素
qnok	相随
qnoe	相思
qnoy	雪里送炭
qny	相通
qnyc	箱体
qnyh	湘潭
qnyh	泄露天机
qnym	香甜
qnyr	相托
qnyo	相同
qnyg	乡土
qny;	相投
qngu	乡绅
qngi	相声
qngd	向上
qngd	心领神会
qngc	相识
qngh	香山
qngr	想说
qng'	心灵手巧
qngg	详述
qngk	香水
qng;	享受
qnk.	想着
qnku	乡镇
qnki	象征
qnkd	乡长
qnkc	相知
qnkh	巷战
qnkn	相撞
qnko	相中
qnkg	相助
qnka	心理障碍
qnkx	心理准备
qn,e	向外
qn,d	向往
qn,u	想问
qn,g	闲来无事
qn,,	香味
qnq	心理学
qnqx	相信
qnqu	狭路相逢
qnqc	详细
qnqt	象形
qnqn	想象
qnqb	想笑
qnq'	湘绣
qnq'	想来想去
qnqy	想学
qnqg	相许
qnqq	乡下
qnqq	向下
qnqm	象限
qnqf	香薰
qnqf	笑脸相迎
qnqh	心理学家
qnf	叙利亚
qnfa	象牙
qnfx	乡音
qnfj	想要
qnfd	像样
qnfc	相依
qnfh	香烟
qnft	相应
